,Store,Store Latitude,Store Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Litchfield,33.48591294383981,-112.36403612418131,Yogurtini,33.484119896018726,-112.36324747032573,Frozen Yogurt Shop
1,Litchfield,33.48591294383981,-112.36403612418131,Dutch Bros Coffee,33.4864860762223,-112.3635340252329,Coffee Shop
2,Litchfield,33.48591294383981,-112.36403612418131,Starbucks,33.483867,-112.364079,Coffee Shop
3,Litchfield,33.48591294383981,-112.36403612418131,Cold Stone Creamery,33.484513,-112.361947,Ice Cream Shop
4,Litchfield,33.48591294383981,-112.36403612418131,Bella Luna Ristorante,33.484175648042246,-112.36316895207315,Italian Restaurant
5,Litchfield,33.48591294383981,-112.36403612418131,Great Clips,33.484034,-112.364654,Salon / Barbershop
6,Litchfield,33.48591294383981,-112.36403612418131,Wells Fargo,33.48526707114452,-112.36328913619673,Bank
7,Litchfield,33.48591294383981,-112.36403612418131,GNC,33.484095,-112.36431,Supplement Shop
8,Litchfield,33.48591294383981,-112.36403612418131,Bruno's Pizza & Wings,33.48673918187179,-112.36319239279952,Pizza Place
9,Litchfield,33.48591294383981,-112.36403612418131,The UPS Store,33.48402825875479,-112.36471000593156,Shipping Store
10,Litchfield,33.48591294383981,-112.36403612418131,Safeway,33.4837645,-112.3641418,Grocery Store
11,Litchfield,33.48591294383981,-112.36403612418131,Redbox,33.48701858520508,-112.36420440673828,Video Store
12,Litchfield,33.48591294383981,-112.36403612418131,Whataburger,33.48539993450714,-112.3654787689448,Burger Joint
13,Litchfield,33.48591294383981,-112.36403612418131,Walgreens,33.4852219,-112.3617663,Pharmacy
14,Litchfield,33.48591294383981,-112.36403612418131,Domino's Pizza,33.484062629325166,-112.36312190674585,Pizza Place
15,Litchfield,33.48591294383981,-112.36403612418131,Subway,33.483962873156756,-112.36306964304822,Sandwich Place
16,Litchfield,33.48591294383981,-112.36403612418131,Clubhouse Grill,33.48424542035773,-112.36527751109016,Sports Bar
17,Litchfield,33.48591294383981,-112.36403612418131,Walmart Neighborhood Market,33.48693553799107,-112.36421545846883,Grocery Store
18,Litchfield,33.48591294383981,-112.36403612418131,Palm Valley Village,33.487115086005915,-112.36400257130605,Shopping Mall
19,Litchfield,33.48591294383981,-112.36403612418131,Leslie's Swimming Pool Supplies,33.48740759981531,-112.36308868026767,Miscellaneous Shop
20,Litchfield,33.48591294383981,-112.36403612418131,Dollar Tree,33.4857424549268,-112.364056609022,Discount Store
21,Litchfield,33.48591294383981,-112.36403612418131,N. Litchfield Rd. and W. Indian School Rd.,33.4858077438519,-112.36292569327293,Intersection
22,Litchfield,33.48591294383981,-112.36403612418131,Scruff's Dog Food Co.,33.48455,-112.365293,Pet Store
23,Litchfield,33.48591294383981,-112.36403612418131,Ignite Yoga Studio,33.486524084933315,-112.363148705475,Athletics & Sports
24,Litchfield,33.48591294383981,-112.36403612418131,Walmart Grocery Pickup,33.48701858520508,-112.36420440673828,Grocery Store
25,Litchfield,33.48591294383981,-112.36403612418131,New World Nail & Spa,33.4866205774287,-112.3631003914909,Nail Salon
26,Litchfield,33.48591294383981,-112.36403612418131,Hanna's Original Italian Ice,33.48649597167969,-112.36311340332031,Ice Cream Shop
27,Litchfield,33.48591294383981,-112.36403612418131,Nationwide Vision Optique,33.484095,-112.36431,Doctor's Office
28,Litchfield,33.48591294383981,-112.36403612418131,Palm Valley Marketplace,33.484032793223854,-112.36326913013424,Shopping Mall
29,Litchfield,33.48591294383981,-112.36403612418131,Lucky Buddha Asian restaurant,33.486607,-112.36642,Asian Restaurant
30,Chandler,33.2618737,-111.75728281594608,Bosa Donuts,33.26257208621778,-111.7573999341168,Donut Shop
31,Chandler,33.2618737,-111.75728281594608,Papa Chevo's Taco Shop,33.261251236503604,-111.75702143185195,Mexican Restaurant
32,Chandler,33.2618737,-111.75728281594608,Planet Fitness,33.26182174682617,-111.75688171386719,Gym / Fitness Center
33,Chandler,33.2618737,-111.75728281594608,SUBWAY,33.26249049754948,-111.7571290237471,Sandwich Place
34,Chandler,33.2618737,-111.75728281594608,Mandarin Chef,33.26109470558206,-111.75674696706744,Asian Restaurant
35,Chandler,33.2618737,-111.75728281594608,Jack in the Box,33.26102429684261,-111.75617918372154,Fast Food Restaurant
36,Chandler,33.2618737,-111.75728281594608,Little Caesars Pizza,33.26261901855469,-111.75727081298828,Pizza Place
37,Chandler,33.2618737,-111.75728281594608,Cogburn's,33.261024853003946,-111.75654345899515,Bar
38,Chandler,33.2618737,-111.75728281594608,Paytons Place,33.261080679118855,-111.75659470457447,Restaurant
39,Chandler,33.2618737,-111.75728281594608,Subway (Val Vista & Quren Creek),33.26261901855469,-111.75727081298828,Sandwich Place
40,Chandler,33.2618737,-111.75728281594608,QV Nail Spa,33.261327075837855,-111.75704956054688,Cosmetics Shop
41,Avondale,33.4594772,-112.2726722,Raising Cane's Chicken Fingers,33.46312041428549,-112.27330478502176,Fried Chicken Joint
42,Avondale,33.4594772,-112.2726722,Best Buy,33.4631148,-112.2756621,Electronics Store
43,Avondale,33.4594772,-112.2726722,Smashburger,33.463894,-112.27297,Burger Joint
44,Avondale,33.4594772,-112.2726722,The Honey Baked Ham Company,33.463636,-112.27096200000001,Deli / Bodega
45,Avondale,33.4594772,-112.2726722,Circle K,33.45826942647361,-112.27199645040191,Convenience Store
46,Avondale,33.4594772,-112.2726722,SUBWAY,33.456542589748956,-112.27363247197468,Sandwich Place
47,Avondale,33.4594772,-112.2726722,Rack Room Shoes,33.463155,-112.27543899999999,Shoe Store
48,Avondale,33.4594772,-112.2726722,David's Bridal,33.46333702783509,-112.27371312535126,Bridal Shop
49,Avondale,33.4594772,-112.2726722,Justice,33.463155,-112.27543899999999,Clothing Store
50,Avondale,33.4594772,-112.2726722,Guitar Center,33.463361604045765,-112.2740887999862,Music Store
51,Avondale,33.4594772,-112.2726722,Pilot Travel Centers,33.4567713,-112.2735726,Gas Station
52,Avondale,33.4594772,-112.2726722,Tacos Calafia,33.46322,-112.270922,Taco Place
53,Avondale,33.4594772,-112.2726722,Blu Sol Massage Spa,33.46327291365503,-112.27102212733203,Spa
54,Avondale,33.4594772,-112.2726722,I-10 / AZ Loop 101 Interchange,33.461708526958816,-112.26858973503113,Intersection
55,Avondale,33.4594772,-112.2726722,Cartridge World,33.463636,-112.27096200000001,Paper / Office Supplies Store
56,Avondale,33.4594772,-112.2726722,Quicks Rc,33.463636,-112.27096200000001,Hobby Shop
57,Avondale,33.4594772,-112.2726722,Pet Club,33.46385880301486,-112.27191538161483,Pet Store
58,Avondale,33.4594772,-112.2726722,Wendyâ€™s,33.4563171,-112.2736088,Fast Food Restaurant
