,Unnamed: 0,id,Store,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,Population
0,0,51899feb498eeae46a8efe15,Bloom Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,14 S 41st Pl,at Washington,33.447499512302315,-111.99179170230312,"[{'label': 'display', 'lat': 33.447499512302315, 'lng': -111.99179170230312}, {'label': 'entrance', 'lat': 33.447367, 'lng': -111.992034}]",85034.0,US,Phoenix,AZ,United States,"['14 S 41st Pl (at Washington)', 'Phoenix, AZ 85034', 'United States']",,1626078.0
1,1,52599d4d498e80ed54bad45a,TruMed Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,1613 North 40th Street,,33.46628185,-111.99523226,"[{'label': 'display', 'lat': 33.46628185, 'lng': -111.99523226}, {'label': 'entrance', 'lat': 33.466279, 'lng': -111.995357}]",85008.0,US,Phoenix,AZ,United States,"['1613 North 40th Street', 'Phoenix, AZ 85008', 'United States']",435690147.0,1626078.0
2,2,5ed2cc9095fee90009aacdcb,Sunnyside Medical Cannabis Dispensary - Phoenix,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2620 W Encanto Blvd,,33.473428,-112.116735,"[{'label': 'display', 'lat': 33.473428, 'lng': -112.116735}]",85009.0,US,Phoenix,AZ,United States,"['2620 W Encanto Blvd', 'Phoenix, AZ 85009', 'United States']",,1626078.0
3,3,531b7f33498e1bd4f343310c,"Phoenix Relief Center, Medical Marijuana Dispensary","[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,6330 S 35th Ave #104,,33.38911819458008,-112.13434600830078,"[{'label': 'display', 'lat': 33.38911819458008, 'lng': -112.13434600830078}]",85041.0,US,Phoenix,AZ,United States,"['6330 S 35th Ave #104', 'Phoenix, AZ 85041', 'United States']",100451509.0,1626078.0
4,4,5a9443ca1953f34302e4bb16,MüV Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,12620 North Cave Creek Road Suite #1,,33.601669,-112.037756,"[{'label': 'display', 'lat': 33.601669, 'lng': -112.037756}, {'label': 'entrance', 'lat': 33.601438, 'lng': -112.037616}]",85022.0,US,Phoenix,AZ,United States,"['12620 North Cave Creek Road Suite #1', 'Phoenix, AZ 85022', 'United States']",483678208.0,1626078.0
5,5,5d04198b59c423002c4d6ac5,Harvest HOC of Scottsdale Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,15190 North Hayden Road,,33.62400830000001,-111.9036692,"[{'label': 'display', 'lat': 33.62400830000001, 'lng': -111.9036692}]",85260.0,US,Scottsdale,AZ,United States,"['15190 North Hayden Road', 'Scottsdale, AZ 85260', 'United States']",550912246.0,249950.0
6,6,5e6a4f21b91e8f0007f9c5db,Nature's Medicines Dispensary,"[{'id': '5745c2e4498e11e7bccabdbd', 'name': 'Drugstore', 'pluralName': 'Drugstores', 'shortName': 'Drugstore', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2439 W McDowell Rd,,33.46587044664698,-112.11282849311829,"[{'label': 'display', 'lat': 33.46587044664698, 'lng': -112.11282849311829}, {'label': 'entrance', 'lat': 33.465631, 'lng': -112.11259}]",85009.0,US,Phoenix,AZ,United States,"['2439 W McDowell Rd', 'Phoenix, AZ 85009', 'United States']",,1626078.0
7,7,54b97f2d498e312c6dadd52c,Urban Greenhouse Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2630 W Indian School Rd,at N 27th Ave,33.49532770892785,-112.11554319429054,"[{'label': 'display', 'lat': 33.49532770892785, 'lng': -112.11554319429054}]",85017.0,US,Phoenix,AZ,United States,"['2630 W Indian School Rd (at N 27th Ave)', 'Phoenix, AZ 85017', 'United States']",119347823.0,1626078.0
8,8,5fc486f79f51aa419efab825,Urban Greenhouse Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2630 West Indian School Road,,33.495483,-112.115571,"[{'label': 'display', 'lat': 33.495483, 'lng': -112.115571}]",85017.0,US,Phoenix,AZ,United States,"['2630 West Indian School Road', 'Phoenix, AZ 85017', 'United States']",598690945.0,1626078.0
9,9,58baeddff16bb5281ae9edad,The Mint Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,5210 S Priest Dr,SW Corner of Priest & Baseline,33.377237726342834,-111.9638585844414,"[{'label': 'display', 'lat': 33.377237726342834, 'lng': -111.96385858444141}]",85283.0,US,Tempe,AZ,United States,"['5210 S Priest Dr (SW Corner of Priest & Baseline)', 'Tempe, AZ 85283', 'United States']",,185038.0
10,10,51e878e0498e1c18bd9ec338,Valley Of The Sun Medical Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,16200 W Eddie Albert Way,Sarival Ave,33.409533,-112.407124,"[{'label': 'display', 'lat': 33.409533, 'lng': -112.407124}]",85338.0,US,Goodyear,AZ,United States,"['16200 W Eddie Albert Way (Sarival Ave)', 'Goodyear, AZ 85338', 'United States']",439440610.0,79858.0
11,11,5acda786e96d0c6b1f781c62,The Superior Dispensary,"[{'id': '4bf58dd8d48988d104941735', 'name': 'Medical Center', 'pluralName': 'Medical Centers', 'shortName': 'Medical', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,211 S 57th Dr,,33.445771,-112.182609,"[{'label': 'display', 'lat': 33.445771, 'lng': -112.182609}]",85043.0,US,Phoenix,AZ,United States,"['211 S 57th Dr', 'Phoenix, AZ 85043', 'United States']",,1626078.0
13,13,5903cc1e8f2c1a0693b3c114,Metro Meds Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,10040 N Metro Pkwy W,,33.578107,-112.124883,"[{'label': 'display', 'lat': 33.578107, 'lng': -112.124883}, {'label': 'entrance', 'lat': 33.578017, 'lng': -112.124764}]",85051.0,US,Phoenix,AZ,United States,"['10040 N Metro Pkwy W', 'Phoenix, AZ 85051', 'United States']",,1626078.0
14,14,5b10b55835811b002cb9bd0d,Mesa Dispensary - Medical Marijuana | Tru- Bliss AZ - Phoenix,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,6859 E Rembrandt Ave Ste 128,,33.34050955014003,-111.68400623914796,"[{'label': 'display', 'lat': 33.34050955014003, 'lng': -111.68400623914795}]",85212.0,US,Mesa,AZ,United States,"['6859 E Rembrandt Ave Ste 128', 'Mesa, AZ 85212', 'United States']",,496401.0
15,15,5fc094e04b2b5306f583d242,Harvest HOC of Baseline Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,1821 West Baseline Road #101,,33.3776434,-111.9668044,"[{'label': 'display', 'lat': 33.3776434, 'lng': -111.9668044}]",85283.0,US,Guadalupe,AZ,United States,"['1821 West Baseline Road #101', 'Guadalupe, AZ 85283', 'United States']",598435649.0,
16,16,565669e9498ed6a34288be3e,zen dispensary new river,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,,,33.56292109832554,-112.05510361979576,"[{'label': 'display', 'lat': 33.56292109832554, 'lng': -112.05510361979576}]",,US,Phoenix,AZ,United States,"['Phoenix, AZ', 'United States']",,1626078.0
17,17,4d8a35b6a0afdcb3ed76a4ab,Arizona Cannabis Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,General Delivery,NW Corner of Scottsdale Rd @ McDowell Rd,33.454,-111.91698,"[{'label': 'display', 'lat': 33.454, 'lng': -111.91698}]",85251.0,US,Scottsdale,AZ,United States,"['General Delivery (NW Corner of Scottsdale Rd @ McDowell Rd)', 'Scottsdale, AZ 85251', 'United States']",,249950.0
18,18,5ee2b9ea10b2ab6928c2ecc6,Mission Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2601 West Dunlap Avenue,,33.56679362,-112.11537172,"[{'label': 'display', 'lat': 33.56679362, 'lng': -112.11537172}]",85021.0,US,Phoenix,AZ,United States,"['2601 West Dunlap Avenue', 'Phoenix, AZ 85021', 'United States']",587056849.0,1626078.0
19,19,5f8df30793cd5847fc1155f8,Herb'N Dispensary,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2601 W Dunlap Ave 18,,33.5668556,-112.115395,"[{'label': 'display', 'lat': 33.5668556, 'lng': -112.115395}]",85021.0,US,Phoenix,AZ,United States,"['2601 W Dunlap Ave 18', 'Phoenix, AZ 85021', 'United States']",,1626078.0
20,20,5fbf4807ca4b95331a707860,Harvest HOC of Phoenix Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2017 W Peoria Ave,,33.5816329,-112.1026786,"[{'label': 'display', 'lat': 33.5816329, 'lng': -112.1026786}]",85029.0,US,Phoenix,AZ,United States,"['2017 W Peoria Ave', 'Phoenix, AZ 85029', 'United States']",601432919.0,1626078.0
21,21,5f8df30793cd5847fc115645,Emerald Dispensary Phoenix,"[{'id': '52c71aaf3cf9994f4e043d17', 'name': 'Marijuana Dispensary', 'pluralName': 'Marijuana Dispensaries', 'shortName': 'Dispensary', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/dispensary_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,4244 W Dunlap Rd Ste 1,,33.5678968,-112.1507395,"[{'label': 'display', 'lat': 33.5678968, 'lng': -112.1507395}]",85051.0,US,Phoenix,AZ,United States,"['4244 W Dunlap Rd Ste 1', 'Phoenix, AZ 85051', 'United States']",,1626078.0
24,24,5b3306b3f709c1002c81f105,Glendale CBD Dispensary™,"[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,6506 W Glendale Ave,67th and glendale ave,33.538742,-112.200119,"[{'label': 'display', 'lat': 33.538742, 'lng': -112.200119}]",85301.0,US,Glendale,AZ,United States,"['6506 W Glendale Ave (67th and glendale ave)', 'Glendale, AZ 85301', 'United States']",,246709.0
25,25,5fdb56761699bb085ed57819,Curaleaf Dispensary Pavilions,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2175 N 83rd Ave,,33.4702221459243,-112.2391519536701,"[{'label': 'display', 'lat': 33.4702221459243, 'lng': -112.2391519536701}]",85035.0,US,Phoenix,AZ,United States,"['2175 N 83rd Ave', 'Phoenix, AZ 85035', 'United States']",1360140485.0,1626078.0
26,26,5a9442970881583b16645221,Territory Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,7200 West Chandler Boulevard,,33.30607836,-111.96618636,"[{'label': 'display', 'lat': 33.30607836, 'lng': -111.96618636}, {'label': 'entrance', 'lat': 33.305983, 'lng': -111.966203}]",85226.0,US,Chandler,AZ,United States,"['7200 West Chandler Boulevard', 'Chandler, AZ 85226', 'United States']",480674592.0,253458.0
27,27,53bf1c86498e7666ec0acd08,The Arizona Dispensary,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,2010 E University Dr Ste 13,,33.422585671028315,-111.9000434875488,"[{'label': 'display', 'lat': 33.422585671028315, 'lng': -111.90004348754881}]",85281.0,US,Tempe,AZ,United States,"['2010 E University Dr Ste 13', 'Tempe, AZ 85281', 'United States']",,185038.0
28,28,5fc486f9066b98253b147cca,Harvest HOC of Tempe Dispensary,"[{'id': '4bf58dd8d48988d1fd941735', 'name': 'Shopping Mall', 'pluralName': 'Shopping Malls', 'shortName': 'Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,710 West Elliot Road #102,,33.3496684,-111.9475449,"[{'label': 'display', 'lat': 33.3496684, 'lng': -111.9475449}]",85284.0,US,Tempe,AZ,United States,"['710 West Elliot Road #102', 'Tempe, AZ 85284', 'United States']",598690946.0,185038.0
29,29,5ade26139e0d5460c1afcdd1,The Phoenix Dispensary,"[{'id': '52e81612bcbc57f1066b7a3c', 'name': 'Alternative Healer', 'pluralName': 'Alternative Healers', 'shortName': 'Alternative Healer', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_', 'suffix': '.png'}, 'primary': True}]",v-1615097078,False,9897 West McDowell Road,,33.4638562,-112.2708046,"[{'label': 'entrance', 'lat': 33.442347, 'lng': -112.23292}, {'label': 'display', 'lat': 33.4638562, 'lng': -112.2708046}]",85353.0,US,Tolleson,AZ,United States,"['9897 West McDowell Road', 'Tolleson, AZ 85353', 'United States']",562090590.0,
